,decade,artist,song,track id,release date,song length (ms),explicit,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time signature,valence
29,1990-1999,Scorpions,Wind Of Change,3ovjw5HZZv43SxTwApooCM,1990-01-01,312360,False,81,0.315,0.452,0.524,0.0,0,0.103,-10.108,1,0.0351,151.505,4,0.246
30,1990-1999,Rage Against The Machine,Killing In The Name,59WN2psjkt1tyaxjspN8fp,1992,313573,True,81,0.0266,0.466,0.833,0.0,7,0.0327,-4.215,1,0.304,88.785,4,0.661
31,1990-1999,The Goo Goo Dolls,Iris,6Qyc6fS4DsZjB2mRW9DsQs,1998-09-11,289533,False,81,0.00125,0.315,0.715,7.97e-06,11,0.0942,-8.072,0,0.0362,155.925,3,0.497
32,1990-1999,Cliff Richard,Mistletoe and Wine,3AgiRs3oxc2dFh0CPUHXJs,1991-11-18,245333,False,81,0.688,0.498,0.432,0.0,9,0.136,-14.386,1,0.0345,135.015,3,0.365
33,1990-1999,The Notorious B.I.G.,Hypnotize - 2014 Remaster,7KwZNVEaqikRSBSpyhXK2j,1997-03-04,229826,True,81,0.145,0.901,0.697,0.0,9,0.287,-3.439,1,0.28,93.941,4,0.67
34,1990-1999,Foo Fighters,Everlong,5UWwZ5lm5PKu6eKsHAGxOk,1997-05-20,250546,False,81,5.99e-05,0.413,0.881,0.000308,11,0.0805,-5.541,0,0.0367,158.066,4,0.364
35,1990-1999,Nirvana,Heart-Shaped Box,11LmqTE2naFULdEP94AUBa,1993-09-21,281160,False,80,0.199,0.256,0.641,0.0329,1,0.0853,-10.283,1,0.0552,203.006,4,0.382
36,1990-1999,The Offspring,The Kids Aren't Alright,4EchqUKQ3qAQuRNKmeIpnf,1998-11-16,180160,False,80,0.00704,0.523,0.943,3.81e-05,1,0.0579,-4.203,1,0.0337,99.607,4,0.766
37,1990-1999,Guns N' Roses,Knockin' On Heaven's Door,4JiEyzf0Md7KEFFGWDDdCr,1991-09-18,336000,False,80,0.0211,0.496,0.739,0.00444,6,0.106,-7.193,1,0.0415,132.41,4,0.378
38,1990-1999,Vince Guaraldi Trio,Christmas Time Is Here,3bMfUUpzUzqWp9II00yRhE,1998-01-01,163093,False,80,0.984,0.367,0.122,4.37e-05,9,0.172,-21.34,0,0.0319,75.265,3,0.104
39,1990-1999,Céline Dion,Happy Xmas (War Is Over),2ohR9Qj4TgZafZCptO9cly,1998,254706,False,80,0.451,0.347,0.6,0.0,3,0.279,-5.254,1,0.0303,172.062,4,0.158
40,1990-1999,Ice Cube,You Know How We Do It,2Ih217RCGAmyQR68Nn7Cqo,1993-12-07,232773,True,80,0.0977,0.747,0.52,0.0537,10,0.142,-10.523,0,0.0357,92.869,4,0.601
41,1990-1999,TLC,No Scrubs,1KGi9sZVMeszgZOWivFpxs,1999-02-23,214400,False,80,0.0251,0.743,0.675,0.000717,8,0.0685,-4.267,0,0.0953,92.909,4,0.59
42,1990-1999,Oasis,Wonderwall - Remastered,7ygpwy2qP3NbrxVkHvUhXY,1995,258773,False,80,0.000509,0.375,0.893,0.0,2,0.187,-4.097,1,0.0406,174.323,4,0.434
43,1990-1999,Mariah Carey,O Holy Night,3B7FO3kJ5kv3mX7yiaB7sT,1994-11-01,266933,False,80,0.367,0.368,0.505,6.63e-06,4,0.154,-7.208,1,0.0285,173.977,3,0.192
44,1990-1999,*NSYNC,"Merry Christmas, Happy Holidays",4v9WbaxW8HdjqfUiWYWsII,1998-10-30,255306,False,80,0.104,0.643,0.939,0.0,5,0.881,-3.967,1,0.0463,104.999,4,0.756
45,1990-1999,Nirvana,Smells Like Teen Spirit,5ghIJDpPoe3CfHMGu71E6T,1991-09-26,301920,False,80,2.55e-05,0.502,0.912,0.000173,1,0.106,-4.556,1,0.0564,116.761,4,0.72
46,1990-1999,Red Hot Chili Peppers,Scar Tissue,1G391cbiT3v3Cywg8T7DM1,1999-06-08,215906,False,80,0.0779,0.595,0.717,0.00274,0,0.108,-4.803,1,0.0295,88.969,4,0.547
47,1990-1999,Los Enanitos Verdes,Lamento Boliviano,6Pur3hWy6Nzc27ilmsp5HA,1994-01-01,222226,False,79,0.176,0.714,0.735,0.000622,4,0.115,-7.125,0,0.0306,123.57,4,0.68
48,1990-1999,Lou Bega,Mambo No. 5 (a Little Bit of...),6x4tKaOzfNJpEJHySoiJcs,1999-07-19,220293,False,79,0.103,0.622,0.807,0.0,5,0.306,-6.752,0,0.408,174.06,4,0.892
